Title	Metadata.Publishers	Metrics.Review Score	Metrics.Used Price	Release.Console	Release.Rating	Release.Year
Need for Speed Underground: Rivals	EA	74	17.95	Sony PSP	E	2005
Twisted Metal: Head-On	Sony	79	14.95	Sony PSP	E	2005
Perfect Dark Zero	Microsoft	79	17.95	X360	E	2005
Super Monkey Ball: Touch & Roll	Sega	63	15.95	Nintendo DS	T	2005
Super Princess Peach	Nintendo	75	29.95	Nintendo DS	T	2005
Burnout Legends	EA	86	14.95	Sony PSP	T	2005
Madden NFL 06	EA	74	4.95	X360	E	2005
Clubhouse Games	Nintendo	83	17.95	Nintendo DS	E	2005
ATV Offroad Fury: Blazin' Trails	Sony	63	12.95	Sony PSP	T	2005
Untold Legends: Brotherhood of the Blade	"Activision,Sony"	68	12.95	Sony PSP	M	2005
Tony Hawk's Underground 2: Remix	Activision	83	14.95	Sony PSP	T	2005
The Sims 2	EA	65	14.95	Sony PSP	T	2005
WipEout Pure	Sony	88	12.95	Sony PSP	E	2005
NBA Live 06	EA	80	9.95	Sony PSP	E	2005
WWE Smackdown vs. Raw 2006	THQ	81	14.95	Sony PSP	T	2005
Dead or Alive 4		85	17.95	X360	E	2005
Phoenix Wright: Ace Attorney	Capcom	81	24.95	Nintendo DS	E	2005
Spider-Man 2	Activision	67	14.95	Sony PSP	M	2005
NFL Street 2	EA	73	17.95	Sony PSP	T	2005
Kirby: Canvas Curse	Nintendo	86	17.95	Nintendo DS	T	2005
Battlefield 2: Modern Combat	EA	77	16.95	X360	E	2005
Yoshi Touch & Go	Nintendo	73	17.95	Nintendo DS	T	2005
Tiger Woods PGA Tour 06	EA	71	9.95	X360	T	2005
Condemned: Criminal Origins	Sega	81	14.95	X360	E	2005
Peter Jackson's King Kong: The Official Game of...	Ubisoft	80	14.95	X360	T	2005
Castlevania: Dawn of Sorrow	Konami	89	17.95	Nintendo DS	T	2005
SpongeBob SquarePants: The Yellow Avenger	THQ	67	13.95	Nintendo DS	E	2005
Marvel Nemesis: Rise of the Imperfects 	EA	58	17.95	Sony PSP	T	2005
Kameo: Elements of Power	Microsoft	79	11.95	X360	T	2005
Advance Wars: Dual Strike	Nintendo	90	17.95	Nintendo DS	T	2005
Trauma Center: Under the Knife	Nintendo	81	15.95	Nintendo DS	T	2005
Coded Arms	Konami	59	12.95	Sony PSP	M	2005
NBA LIVE 06	EA	64	4.95	X360	E	2005
Tony Hawk's American Wasteland	Activision	75	14.95	X360	E	2005
Star Wars: Episode III - Revenge of the Sith	Ubisoft	73	16.95	Nintendo DS	E	2005
Capcom Classics Collection Remixed	Capcom	72	17.95	Sony PSP	E	2005
Madagascar	Activision	66	14.95	Nintendo DS	E	2005
X-Men: Legends II - Rise of Apocalypse	Activision	84	17.95	Sony PSP	M	2005
Quake 4	Activision	75	14.95	X360	E	2005
Pokmon Trozei!	Nintendo	74	19.95	Nintendo DS	E	2005
Need for Speed: Most Wanted	EA	45	15.95	Nintendo DS	E	2005
Mega Man Maverick Hunter X	Capcom	79	17.95	Sony PSP	E	2005
Metroid Prime Pinball	Nintendo	79	17.95	Nintendo DS	E	2005
NBA 06	Sony	72	9.95	Sony PSP	E	2005
GUN 	Activision	75	19.95	X360	E	2005
NBA 2K6	2K	81	4.95	X360	E	2005
Pinball Hall of Fame: The Gottlieb Collection		73	9.95	Sony PSP	T	2005
Harry Potter and the Goblet of Fire	EA	68	17.95	Nintendo DS	T	2005
Tony Hawk's American Sk8land	Activision	84	16.95	Nintendo DS	E	2005
MVP Baseball	EA	67	4.95	Sony PSP	M	2005
Tiger Woods PGA Tour	EA	78	17.95	Sony PSP	E	2005
World Series of Poker	Activision	37	14.95	Sony PSP	E	2005
SSX on Tour	EA	79	16.95	Sony PSP	E	2005
Tiger Woods PGA Tour 06	EA	80	9.95	Sony PSP	T	2005
Death Jr.	Konami	61	9.95	Sony PSP	M	2005
Harry Potter and the Goblet of Fire	EA	70	17.95	Sony PSP	T	2005
MediEvil Resurrection	Sony	66	17.95	Sony PSP	T	2005
"The Chronicles of Narnia: The Lion, the Witch a..."		65	12.95	Nintendo DS	T	2005
Shrek SuperSlam	Activision	56	11.95	Nintendo DS	E	2005
Virtua Tennis: World Tour	Sega	84	14.95	Sony PSP	M	2005
Prince of Persia: Revelations	Ubisoft	65	6.95	Sony PSP	E	2005
Burnout Legends	EA	38	17.95	Nintendo DS	E	2005
Meteos	Nintendo	88	15.95	Nintendo DS	E	2005
Spyro: Shadow Legacy		50	17.95	Nintendo DS	E	2005
The Con	Sony	63	8.95	Sony PSP	E	2005
Infected		74	17.95	Sony PSP	E	2005
Pursuit Force	Sony	75	14.95	Sony PSP	M	2005
Kingdom of Paradise	Sony	72	12.95	Sony PSP	E	2005
Dragon Ball Z: Supersonic Warriors 2	Atari	66	22.95	Nintendo DS	E	2005
Dragon Quest Heroes: Rocket Slime	SquareEnix	83	12.95	Nintendo DS	T	2005
Dead to Rights: Reckoning	Namco	54	14.95	Sony PSP	E	2005
Amped 3	2K	72	14.95	X360	E	2005
Break 'em All		68	17.95	Nintendo DS	T	2005
Lunar: Dragon Song	Ubisoft	59	14.95	Nintendo DS	M	2005
Madden NFL 06	EA	66	9.95	Nintendo DS	E	2005
Retro Atari Classics	Atari	51	12.95	Nintendo DS	E	2005
True Swing Golf	Nintendo	66	14.95	Nintendo DS	E	2005
FIFA Soccer	EA	73	14.95	Sony PSP	E	2005
Metal Gear Ac!d 2	Konami	80	12.95	Sony PSP	E	2005
ATV Quad Frenzy		35	14.95	Nintendo DS	T	2005
Bomberman	Ubisoft	75	17.95	Nintendo DS	E	2005
GoldenEye: Rogue Agent	EA	58	14.95	Nintendo DS	T	2005
Need for Speed Underground 2	EA	65	22.95	Nintendo DS	T	2005
Frogger: Helmet Chaos	Konami	66	19.95	Sony PSP	E	2005
The Lord of the Rings: Tactics	EA	64	19.95	Sony PSP	M	2005
Rengoku: The Tower of Purgatory	Konami	43	12.95	Sony PSP	E	2005
Gretzky NHL	Sony	61	9.95	Sony PSP	E	2005
Ridge Racer 6	"EA,Namco"	74	14.95	X360	E	2005
Ford Racing 3		49	14.95	Nintendo DS	E	2005
NHL 2K6	2K	75	5.95	X360	T	2005
Bust-a-Move DS		75	17.95	Nintendo DS	E	2005
Battles of Prince of Persia	Ubisoft	64	14.95	Nintendo DS	E	2005
GripShift	Ubisoft	70	9.95	Sony PSP	E	2005
Marvel Nemesis: Rise of the Imperfects 	EA	34	14.95	Nintendo DS	T	2005
Scooby-Doo! Unmasked	THQ	60	17.95	Nintendo DS	E	2005
Viewtiful Joe: Double Trouble!	Capcom	73	14.95	Nintendo DS	E	2005
The Legend of Heroes: A Tear of Vermillion		68	17.95	Sony PSP	T	2005
PQ: Practical Intelligence Quotient		69	14.95	Sony PSP	E	2005
Lost in Blue	Konami	69	24.95	Nintendo DS	T	2005
Ghost in the Shell: Stand Alone Complex	Sony	61	14.95	Sony PSP	E	2005
Dig Dug: Digging Strike	Namco	65	16.95	Nintendo DS	E	2005
Frogger: Helmet Chaos	Konami	69	17.95	Nintendo DS	E	2005
Mega Man Battle Network 5: Double Team DS	Capcom	68	17.95	Nintendo DS	E	2005
Nanostray	THQ	71	17.95	Nintendo DS	E	2005
Sega Casino	Sega	61	17.95	Nintendo DS	M	2005
Teenage Mutant Ninja Turtles 3: Mutant Nightmare	Konami	58	17.95	Nintendo DS	T	2005
Pac-Man World 3	"EA,Namco"	61	24.95	Sony PSP	E	2005
Tokobot		72	17.95	Sony PSP	T	2005
Fullmetal Alchemist: Dual Sympathy		58	14.95	Nintendo DS	M	2005
Exit	Ubisoft	77	9.95	Sony PSP	E	2005
Bubble Bobble Revolution		38	17.95	Nintendo DS	M	2005
The Rub Rabbits!	Sega	68	17.95	Nintendo DS	M	2005
Electroplankton	Nintendo	71	29.95	Nintendo DS	T	2005
LifeSigns: Surgical Unit		61	22.95	Nintendo DS	T	2005
Space Invaders Revolution		49	13.95	Nintendo DS	E	2005
Wii Play	Nintendo	58	14.95	Nintendo Wii	T	2006
New Super Mario Bros.	Nintendo	89	27.95	Nintendo DS	T	2006
Pokmon Diamond	Nintendo	85	27.95	Nintendo DS	E	2006
Pokmon Pearl	Nintendo	85	26.95	Nintendo DS	E	2006
Gears of War	Microsoft	94	19.95	X360	M	2006
The Legend of Zelda: Twilight Princess	Nintendo	95	39.95	Nintendo Wii	M	2006
Cooking Mama		67	17.95	Nintendo DS	M	2006
Marvel Ultimate Alliance	Activision	82	14.95	X360	T	2006
Daxter	Sony	85	14.95	Sony PSP	T	2006
The Elder Scrolls IV: Oblivion	2K	94	19.95	X360	E	2006
Madden NFL 07	EA	80	4.95	X360	E	2006
Grand Theft Auto: Vice City Stories	Rockstar	86	17.95	Sony PSP	E	2006
Resistance: Fall of Man	Sony	86	19.95	PlayStation 3	E	2006
MotorStorm	Sony	82	16.95	PlayStation 3	T	2006
Call of Duty 3	Activision	82	16.95	X360	T	2006
Yoshi's Island DS	Nintendo	81	27.95	Nintendo DS	E	2006
Tom Clancy's Ghost Recon: Advanced Warfighter	Ubisoft	90	14.95	X360	E	2006
Fight Night Round 3	EA	86	14.95	X360	E	2006
Pokmon Ranger	Nintendo	69	19.95	Nintendo DS	E	2006
Rayman Raving Rabbids	Ubisoft	76	17.95	Nintendo Wii	T	2006
Saints Row	THQ	81	14.95	X360	T	2006
Tom Clancy's Rainbow Six: Vegas	Ubisoft	88	14.95	X360	E	2006
Dead Rising	Capcom	85	16.95	X360	E	2006
Call of Duty 3	Activision	69	19.95	Nintendo Wii	E	2006
Lost Planet: Extreme Condition	Capcom	79	12.95	X360	M	2006
Mario Hoops 3 on 3	Nintendo	69	22.95	Nintendo DS	M	2006
LEGO Star Wars II: The Original Trilogy	EA	47	17.95	Nintendo DS	E	2006
Super Monkey Ball: Banana Blitz	Sega	74	14.95	Nintendo Wii	T	2006
The Sims 2: Pets	EA	49	14.95	Nintendo DS	T	2006
Need for Speed: Carbon - Own the City	EA	73	16.95	Sony PSP	E	2006
WarioWare: Smooth Moves	Nintendo	83	39.95	Nintendo Wii	T	2006
Fight Night Round 3	EA	83	13.95	PlayStation 3	T	2006
Final Fantasy III	SquareEnix	77	17.95	Nintendo DS	E	2006
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2	Sony	81	16.95	Sony PSP	E	2006
Madden NFL 07	EA	78	9.95	Sony PSP	E	2006
Monster 4x4: World Circuit	Ubisoft	51	12.95	Nintendo Wii	E	2006
Kirby: Squeak Squad	Nintendo	71	27.95	Nintendo DS	T	2006
Pokmon Battle Revolution	Nintendo	53	39.95	Nintendo Wii	T	2006
Medal of Honor: Heroes	EA	71	14.95	Sony PSP	E	2006
Tekken: Dark Resurrection	"Namco,Sony"	88	17.95	Sony PSP	E	2006
Need for Speed: Carbon	EA	77	16.95	X360	E	2006
Mario vs. Donkey Kong 2: March of the Minis	Nintendo	76	27.95	Nintendo DS	T	2006
Sonic Rivals	Sega	64	17.95	Sony PSP	T	2006
NCAA Football 07	EA	79	4.95	X360	E	2006
Mortal Kombat: Unchained	Midway	70	17.95	Sony PSP	E	2006
Tom Clancy's Splinter Cell: Double Agent	Ubisoft	85	17.95	X360	E	2006
Tetris DS	Nintendo	84	17.95	Nintendo DS	M	2006
LEGO Star Wars II: The Original Trilogy		83	17.95	Sony PSP	T	2006
Red Steel	Ubisoft	63	14.95	Nintendo Wii	T	2006
Metroid Prime: Hunters	Nintendo	85	27.95	Nintendo DS	E	2006
LEGO Star Wars II: The Original Trilogy		81	14.95	X360	E	2006
NBA 2K7	2K	84	4.95	X360	E	2006
SEGA Genesis Collection	Sega	82	17.95	Sony PSP	T	2006
Call of Duty 3	Activision	80	19.95	PlayStation 3	T	2006
NBA Live 07	EA	64	7.95	Sony PSP	E	2006
Madden NFL 07	EA	76	6.95	PlayStation 3	T	2006
SpongeBob SquarePants: The Yellow Avenger	THQ	48	12.95	Sony PSP	T	2006
Madden NFL 07	EA	81	9.95	Nintendo Wii	E	2006
Fight Night Round 3	EA	74	16.95	Sony PSP	T	2006
Need for Speed: Carbon	EA	75	17.95	PlayStation 3	T	2006
Need for Speed: Carbon	EA	67	17.95	Nintendo Wii	M	2006
WWE SmackDown vs. Raw 2007	THQ	81	12.95	X360	E	2006
Tiger Woods PGA Tour 07	EA	80	9.95	X360	T	2006
Viva Pi$?ata	Microsoft	84	16.95	X360	E	2006
SpongeBob Squarepants: Creature from the Krusty Krab	THQ	57	14.95	Nintendo Wii	T	2006
Tony Hawk's Project 8	Activision	68	17.95	Sony PSP	M	2006
Tony Hawk's Project 8	Activision	81	16.95	X360	E	2006
NBA LIVE 07	EA	59	4.95	X360	T	2006
Excite Truck	Nintendo	72	19.95	Nintendo Wii	M	2006
Harvest Moon DS		67	17.95	Nintendo DS	T	2006
Star Fox Command	Nintendo	76	14.95	Nintendo DS	T	2006
Metal Gear Solid: Portable Ops	Konami	87	17.95	Sony PSP	T	2006
Marvel Ultimate Alliance	Activision	73	17.95	Nintendo Wii	M	2006
Blazing Angels: Squadrons of WWII	Ubisoft	66	16.95	X360	E	2006
Major League Baseball 2K6	2K	66	4.95	X360	T	2006
NCAA Football 07	EA	75	9.95	Sony PSP	T	2006
MLB 06: The Show	Sony	83	9.95	Sony PSP	T	2006
Blazing Angels: Squadrons of WWII	Ubisoft	67	16.95	PlayStation 3	T	2006
WWE SmackDown vs. Raw 2007	THQ	78	14.95	Sony PSP	T	2006
Rune Factory: A Fantasy Harvest Moon		78	24.95	Nintendo DS	T	2006
Marvel Ultimate Alliance	Activision	81	22.95	Sony PSP	E	2006
Marvel Ultimate Alliance	Activision	78	24.95	PlayStation 3	M	2006
Tiger Woods PGA Tour 07	EA	81	14.95	PlayStation 3	E	2006
Ace Combat X: Skies of Deception	Namco	75	22.95	Sony PSP	E	2006
Killzone: Liberation	Sony	77	16.95	Sony PSP	M	2006
F.E.A.R.: First Encounter Assault Recon		85	17.95	X360	E	2006
NBA 2K7	2K	80	7.95	PlayStation 3	E	2006
Tony Hawk's Project 8	Activision	76	14.95	PlayStation 3	T	2006
Avatar: The Last Airbender	THQ	64	17.95	Nintendo DS	E	2006
Castlevania: Portrait of Ruin	Konami	85	17.95	Nintendo DS	M	2006
Hitman: Blood Money	Eidos	82	22.95	X360	E	2006
Rockstar Games presents Table Tennis	Rockstar	81	9.95	X360	M	2006
Trauma Center: Second Opinion	Nintendo	80	17.95	Nintendo Wii	T	2006
Tenchu Z	Microsoft	56	14.95	X360	E	2006
Elite Beat Agents	Nintendo	87	9.95	Nintendo DS	M	2006
Street Fighter Alpha 3 MAX	Capcom	80	14.95	Sony PSP	M	2006
Blue Dragon	Microsoft	79	14.95	X360	T	2006
The Lord of the Rings: The Battle for Middle Ea...	EA	79	19.95	X360	T	2006
Prey	2K	79	14.95	X360	T	2006
Over the Hedge	Activision	71	16.95	Nintendo DS	E	2006
Capcom Classics Collection Reloaded	Capcom	75	17.95	Sony PSP	T	2006
Pirates of the Caribbean: Dead Man's Chest		52	14.95	Sony PSP	T	2006
NHL 07	EA	79	5.95	X360	T	2006
Monster Hunter Freedom	Capcom	71	12.95	Sony PSP	E	2006
Chromehounds	Sega	71	14.95	X360	T	2006
Test Drive Unlimited	Atari	82	17.95	X360	T	2006
Dragon Ball Z: Budokai Tenkaichi 2	Atari	72	14.95	Nintendo Wii	E	2006
Dragon Quest Monsters: Joker	SquareEnix	75	14.95	Nintendo DS	T	2006
Pirates of the Caribbean: Dead Man's Chest		63	11.95	Nintendo DS	E	2006
NFL Street 3	EA	68	14.95	Sony PSP	T	2006
Syphon Filter: Dark Mirror	Sony	87	12.95	Sony PSP	M	2006
NBA 07	Sony	63	6.95	PlayStation 3	T	2006
Ridge Racer 7	"Namco,Sony"	78	19.95	PlayStation 3	E	2006
The Outfit	THQ	70	14.95	X360	E	2006
Elebits	Konami	75	14.95	Nintendo Wii	T	2006
Tony Hawk's Downhill Jam	Activision	76	14.95	Nintendo DS	T	2006
The Sims 2: Pets	EA	57	17.95	Sony PSP	T	2006
Tiger Woods PGA Tour 07	EA	78	12.95	Sony PSP	E	2006
Thrillville	Atari	72	14.95	Sony PSP	E	2006
The Godfather: The Game	EA	77	17.95	X360	T	2006
Rampage: Total Destruction	Midway	46	16.95	Nintendo Wii	E	2006
College Hoops 2K7	2K	82	6.95	X360	T	2006
Far Cry: Instincts - Predator	Ubisoft	78	17.95	X360	E	2006
Full Auto	Sega	70	16.95	X360	E	2006
Age of Empires: The Age of Kings		80	17.95	Nintendo DS	T	2006
Need for Speed: Carbon - Own the City	EA	70	14.95	Nintendo DS	T	2006
Brothers in Arms: D-Day	Ubisoft	65	6.95	Sony PSP	T	2006
Family Guy Video Game!	2K	51	19.95	Sony PSP	M	2006
Superman Returns	EA	51	7.95	X360	E	2006
Over G Fighters	Ubisoft	49	17.95	X360	E	2006
Final Fantasy XI Online	SquareEnix	66	4.95	X360	E	2006
Mystery Dungeon: Shiren the Wanderer	Sega	69	17.95	Nintendo DS	T	2006
Phoenix Wright: Ace Attorney - Justice for All	Capcom	76	13.95	Nintendo DS	E	2006
Justice League Heroes		72	17.95	Sony PSP	M	2006
Valhalla Knights		53	16.95	Sony PSP	T	2006
Genji: Days of the Blade	Sony	55	14.95	PlayStation 3	T	2006
Top Spin 2	2K	75	12.95	X360	T	2006
Field Commander	"Sony,Ubisoft"	77	14.95	Sony PSP	T	2006
Children of Mana	"Nintendo,SquareEnix"	65	16.95	Nintendo DS	E	2006
Valkyrie Profile: Lenneth	SquareEnix	80	22.95	Sony PSP	E	2006
Monster House	THQ	62	14.95	Nintendo DS	M	2006
Enchanted Arms	Ubisoft	69	17.95	X360	E	2006
NHL 07	EA	76	12.95	Sony PSP	M	2006
Bust-a-Move Deluxe		73	14.95	Sony PSP	M	2006
Full Auto 2: Battlelines	Sega	67	14.95	PlayStation 3	T	2006
Blitz: The League	Midway	69	14.95	X360	T	2006
Star Trek Legacy	Ubisoft	64	24.95	X360	E	2006
Eragon		63	16.95	Nintendo DS	E	2006
Master of Illusion	Nintendo	69	14.95	Nintendo DS	E	2006
Mega Man ZX	Capcom	76	19.95	Nintendo DS	T	2006
Untold Legends: The Warrior's Code	"Sony,Ubisoft"	65	14.95	Sony PSP	T	2006
Super Swing Golf		72	16.95	Nintendo Wii	T	2006
X-Men: The Official Game	Activision	52	14.95	X360	M	2006
Untold Legends: Dark Kingdom	"EA,Sony"	58	16.95	PlayStation 3	E	2006
Happy Feet	Midway	46	14.95	Nintendo Wii	E	2006
Open Season	Ubisoft	72	17.95	Nintendo DS	T	2006
Dungeon Siege: Throne of Agony	2K	74	24.95	Sony PSP	E	2006
LocoRoco	Sony	83	17.95	Sony PSP	T	2006
Dead or Alive: Xtreme 2		53	14.95	X360	T	2006
Fuzion Frenzy 2	Microsoft	49	14.95	X360	T	2006
MotoGP '06	THQ	80	14.95	X360	M	2006
Lumines II		81	14.95	Sony PSP	E	2006
Major League Baseball 2K6	2K	69	4.95	Sony PSP	M	2006
Star Wars: Lethal Alliance	Ubisoft	61	17.95	Sony PSP	T	2006
Worms: Open Warfare	THQ	70	17.95	Sony PSP	T	2006
Eragon		59	14.95	Sony PSP	E	2006
Metal Slug Anthology		73	16.95	Nintendo Wii	T	2006
Open Season	Ubisoft	59	14.95	X360	E	2006
Tom Clancy's Splinter Cell: Double Agent	Ubisoft	61	17.95	Nintendo Wii	T	2006
Avatar: The Last Airbender	THQ	57	17.95	Sony PSP	E	2006
Lemmings	Sony	76	17.95	Sony PSP	E	2006
Mega Man Powered Up	Capcom	82	16.95	Sony PSP	E	2006
College Hoops 2K6	2K	70	6.95	X360	E	2006
Dynasty Warriors 5: Empires		61	14.95	X360	T	2006
Magical Starsign	Nintendo	69	9.95	Nintendo DS	E	2006
Resident Evil: Deadly Silence	Capcom	71	17.95	Nintendo DS	E	2006
X-Men: The Official Game	Activision	50	14.95	Nintendo DS	E	2006
Cabela's African Safari	Activision	53	17.95	X360	E	2006
Cabela's Alaskan Adventures	Activision	48	17.95	X360	E	2006
Armored Core 4	Sega	65	19.95	PlayStation 3	E	2006
Eragon		48	12.95	X360	T	2006
LostMagic	Ubisoft	68	14.95	Nintendo DS	T	2006
Magnetica	Nintendo	68	17.95	Nintendo DS	T	2006
Def Jam Fight for NY: The Takeover	EA	79	17.95	Sony PSP	T	2006
NASCAR 07	EA	66	24.95	Sony PSP	T	2006
The Ant Bully	Midway	45	16.95	Nintendo Wii	T	2006
Just Cause	Eidos	73	16.95	X360	E	2006
Onechanbara: Bikini Samurai Squad		39	19.95	X360	E	2006
Phantasy Star Universe	Sega	64	24.95	X360	E	2006
Project Sylpheed: Arc of Deception	"Microsoft,SquareEnix"	64	14.95	X360	T	2006
Winning Eleven: Pro Evolution Soccer 2007	Konami	80	11.95	X360	E	2006
Kororinpa: Marble Mania	Nintendo	69	17.95	Nintendo Wii	T	2006
Digimon World DS	Namco	49	27.95	Nintendo DS	E	2006
Justice League Heroes		43	17.95	Nintendo DS	E	2006
Innocent Life: A Futuristic Harvest Moon		67	17.95	Sony PSP	E	2006
Power Stone Collection	Capcom	74	14.95	Sony PSP	M	2006
EA Replay	EA	56	14.95	Sony PSP	E	2006
Open Season	Ubisoft	49	17.95	Nintendo Wii	M	2006
Samurai Warriors 2		52	14.95	X360	M	2006
Far Cry: Vengeance	Ubisoft	38	16.95	Nintendo Wii	E	2006
Import Tuner Challenge	Ubisoft	54	17.95	X360	E	2006
Contact		73	14.95	Nintendo DS	E	2006
Touch Detective		60	14.95	Nintendo DS	T	2006
FIFA Street 2	EA	58	17.95	Sony PSP	T	2006
007: From Russia with Love	EA	61	17.95	Sony PSP	T	2006
PaRappa the Rapper	Sony	67	12.95	Sony PSP	T	2006
Riviera: The Promised Land		68	17.95	Sony PSP	M	2006
Samurai Warriors: State of War		64	17.95	Sony PSP	E	2006
Viewtiful Joe: Red Hot Rumble	Capcom	63	14.95	Sony PSP	E	2006
Ice Age 2: The Meltdown		66	17.95	Nintendo Wii	E	2006
Rumble Roses XX	Konami	62	17.95	X360	E	2006
Bionicle Heroes	Eidos	72	16.95	Nintendo DS	T	2006
Deep Labyrinth		57	10.95	Nintendo DS	T	2006
Blade Dancer: Lineage of Light		60	16.95	Sony PSP	E	2006
Every Extend Extra		74	11.95	Sony PSP	E	2006
Ultimate Ghosts 'N' Goblins	Capcom	72	17.95	Sony PSP	E	2006
Xiaolin Showdown	Konami	44	14.95	Sony PSP	M	2006
Bionicle Heroes	Eidos	59	14.95	X360	T	2006
Bullet Witch	Atari	55	16.95	X360	M	2006
Death Jr. II: Root of Evil	Konami	68	14.95	Sony PSP	E	2006
Alex Rider: Stormbreaker	THQ	48	12.95	Nintendo DS	M	2006
Cartoon Network Racing		55	14.95	Nintendo DS	E	2006
Guilty Gear: Dust Strikers		60	14.95	Nintendo DS	E	2006
Gunpey DS	Namco	70	12.95	Nintendo DS	E	2006
Lara Croft Tomb Raider: Legend	Eidos	58	17.95	Nintendo DS	E	2006
Worms: Open Warfare	THQ	64	17.95	Nintendo DS	E	2006
Mercury Meltdown		78	12.95	Sony PSP	M	2006
MTX Mototrax	Activision	67	19.95	Sony PSP	M	2006
Snoopy vs. the Red Baron	Namco	76	17.95	Sony PSP	E	2006
Super Monkey Ball Adventure	Sega	56	24.95	Sony PSP	E	2006
Ys VI: The Ark of Napishtim	Konami	64	16.95	Sony PSP	E	2006
Bomberman Land Touch!		78	24.95	Nintendo DS	E	2006
Point Blank DS	"Atari,Namco"	66	17.95	Nintendo DS	M	2006
Scurge: Hive		70	8.95	Nintendo DS	M	2006
Star Trek: Tactical Assault	Ubisoft	63	17.95	Nintendo DS	T	2006
Tao's Adventure: Curse of the Demon Seal	Konami	50	14.95	Nintendo DS	E	2006
Ford Bold Moves Street Racing	Eidos	52	17.95	Sony PSP	T	2006
Gitaroo Man Lives!		80	22.95	Sony PSP	E	2006
Gradius Collection	Konami	76	17.95	Sony PSP	T	2006
The Legend of Heroes II: Prophecy of the Moonli...	Namco	63	17.95	Sony PSP	E	2006
Pac-Man World Rally	Namco	51	17.95	Sony PSP	T	2006
Bomberman: Act Zero	Konami	34	12.95	X360	E	2006
Earth Defense Force 2017		69	17.95	X360	T	2006
WarTech: Senko no Ronde	Ubisoft	60	12.95	X360	T	2006
MechAssault: Phantom War		66	12.95	Nintendo DS	E	2006
Astonishia Story	Ubisoft	48	16.95	Sony PSP	T	2006
B-Boy	Sony	50	17.95	Sony PSP	E	2006
BattleZone	Atari	57	14.95	Sony PSP	E	2006
Bounty Hounds	Namco	63	17.95	Sony PSP	T	2006
Bubble Bobble Evolution		47	12.95	Sony PSP	E	2006
MotoGP	Sony	69	32.95	Sony PSP	E	2006
